Estado,Nombre del tecnológico,Clave oficial,Modalidad,Grado que otorga,Carrera,URL del tecnológico,URL de la carrera
Aguascalientes,🏫 Instituto Tecnológico El Llano Aguascalientes,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://llano.tecnm.mx,https://llano.tecnm.mx/?page_id=688
Aguascalientes,🏫 Instituto Tecnológico El Llano Aguascalientes,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://llano.tecnm.mx,https://llano.tecnm.mx
Aguascalientes,🏫 Instituto Tecnológico El Llano Aguascalientes,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://llano.tecnm.mx,https://llano.tecnm.mx
Aguascalientes,🏫 Instituto Tecnológico El Llano Aguascalientes,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniería en Tecnologías de la Información y Comunicaciones,https://llano.tecnm.mx,https://llano.tecnm.mx/?page_id=686
Aguascalientes,🏫 Instituto Tecnológico El Llano Aguascalientes,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administración,https://llano.tecnm.mx,https://llano.tecnm.mx/?page_id=691
Baja California,🏫 Instituto Tecnológico de Ensenada,IEME-2010-210,Escolarizada,Licenciatura,Ingeniería Electromecánica,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-electromecanica/
Baja California,🏫 Instituto Tecnológico de Ensenada,IELC-2010-211,Escolarizada,Licenciatura,Ingeniería Electrónica,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-electronica/
Baja California,🏫 Instituto Tecnológico de Ensenada,IGEM-2009-201,Mixta,Licenciatura,Ingeniería en Gestión Empresarial,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-gestion-empresarial/
Baja California,🏫 Instituto Tecnológico de Ensenada,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-gestion-empresarial/
Baja California,🏫 Instituto Tecnológico de Ensenada,IIAS-2010-221,Escolarizada,Licenciatura,Ingeniería en Innovación Agrícola Sustentable,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ingenieria-en-innovacion-agricola-sustentable/
Baja California,🏫 Instituto Tecnológico de Ensenada,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-sistemas-computacionales/
Baja California,🏫 Instituto Tecnológico de Ensenada,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.ensenada.tecnm.mx,https://ensenada.tecnm.mx
Baja California,🏫 Instituto Tecnológico de Ensenada,IIND-2010-227,Escolarizada,Licenciatura,Ingeniería Industrial,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-industrial/
Baja California,🏫 Instituto Tecnológico de Ensenada,IIND-2010-227,Mixta,Licenciatura,Ingeniería Industrial,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-industrial/
Baja California,🏫 Instituto Tecnológico de Ensenada,IIND-2010-227,No Escolarizada,Licenciatura,Ingeniería Industrial,https://www.ensenada.tecnm.mx,https://ensenada.tecnm.mx
Baja California,🏫 Instituto Tecnológico de Ensenada,IMCT-2010-229,Escolarizada,Licenciatura,Ingeniería Mecatrónica,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/ing-mecatronica/
Baja California,🏫 Instituto Tecnológico de Ensenada,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administración,https://www.ensenada.tecnm.mx,https://www.ensenada.tecnm.mx/lic-en-administracion/
Baja California,🏫 Instituto Tecnológico de Mexicali,COPU-2010-205,Escolarizada,Licenciatura,Contador Público,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/cp/contador.html
Baja California,🏫 Instituto Tecnológico de Mexicali,IBQA-2010-207,Escolarizada,Licenciatura,Ingeniería Bioquímica,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/BIOQUIMICA.jpeg
Baja California,🏫 Instituto Tecnológico de Mexicali,IELC-2010-211,Escolarizada,Licenciatura,Ingeniería Electrónica,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/ELECTRONICA.jpg
Baja California,🏫 Instituto Tecnológico de Mexicali,IELE-2010-209,Escolarizada,Licenciatura,Ingeniería Eléctrica,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/electrica/electrica.html
Baja California,🏫 Instituto Tecnológico de Mexicali,IADM-2010-213,Mixta,Licenciatura,Ingeniería en Administración,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/ADMINISTRACION.jpeg
Baja California,🏫 Instituto Tecnológico de Mexicali,IDAP-2024-246,Escolarizada,Licenciatura,Ingeniería en Desarrollo de Aplicaciones,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/dsc/carreras/ing-desarrollo-de-aplicaciones?authuser=0
Baja California,🏫 Instituto Tecnológico de Mexicali,IENR-2010-217,Escolarizada,Licenciatura,Ingeniería en Energías Renovables,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/RENOVABLES.jpg
Baja California,🏫 Instituto Tecnológico de Mexicali,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/ingenieria-gestion-empresarial/inicio?pli=1
Baja California,🏫 Instituto Tecnológico de Mexicali,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/ingenieria-gestion-empresarial/inicio
Baja California,🏫 Instituto Tecnológico de Mexicali,ILOG-2009-202,Escolarizada,Licenciatura,Ingeniería en Logística,http://www.itmexicali.edu.mx,https://sites.google.com/itmexicali.edu.mx/ingeniera-logistica/inicio
Baja California,🏫 Instituto Tecnológico de Mexicali,IMAT-2010-222,Escolarizada,Licenciatura,Ingeniería en Materiales,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/MATERIALES.jpg
Baja California,🏫 Instituto Tecnológico de Mexicali,ISEM-2023-244,Escolarizada,Licenciatura,Ingeniería en Semiconductores,http://www.itmexicali.edu.mx,http://www.itmexicali.edu.mx/carreras/img/SEMICONDUCTORES.jfif
